OpenROAD f12e2f474102bfb875eeee57fb610d7d7de17770 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO PSM-0002] Output voltage file is specified as: /workspace/iris_c3a247b9-0025-43e1-bae8-42a940fa0b63/Chip-Orchestra/output/nanocgra_lite_3x3_opt/reports/pdnsim_vdd.rpt.
[WARNING PSM-0016] Voltage pad location (VSRC) file not specified, defaulting pad location to checkerboard pattern on core area.
[WARNING PSM-0017] X direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0018] Y direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0065] VSRC location not specified, using default checkerboard pattern with one VDD every size bumps in x-direction and one in two bumps in the y-direction
[WARNING PSM-0030] VSRC location at (10.080um, 11.760um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (10.080um, 41.460um).
[WARNING PSM-0030] VSRC location at (290.080um, 151.760um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (280.080um, 161.460um).
[INFO PSM-0031] Number of PDN nodes on net vdd = 16202.
[WARNING PSM-0024] Instance _05139_, current node at (351000, 705600) at layer 1 have been moved from (348320, 697760).
[WARNING PSM-0024] Instance _05141_, current node at (302400, 768320) at layer 1 have been moved from (300160, 760480).
[WARNING PSM-0024] Instance _05142_, current node at (270000, 768320) at layer 1 have been moved from (272160, 760480).
[WARNING PSM-0024] Instance _05143_, current node at (291600, 768320) at layer 1 have been moved from (288960, 760480).
[WARNING PSM-0024] Instance _05144_, current node at (172800, 689920) at layer 1 have been moved from (174720, 682080).
[WARNING PSM-0024] Instance _05147_, current node at (48600, 627200) at layer 1 have been moved from (45920, 619360).
[WARNING PSM-0024] Instance _05149_, current node at (75600, 564480) at layer 1 have been moved from (75040, 556640).
[WARNING PSM-0024] Instance _05152_, current node at (81000, 564480) at layer 1 have been moved from (81760, 556640).
[WARNING PSM-0024] Instance _05153_, current node at (167400, 580160) at layer 1 have been moved from (165760, 572320).
[WARNING PSM-0024] Instance _05155_, current node at (129600, 627200) at layer 1 have been moved from (131040, 619360).
[WARNING PSM-0024] Instance _05157_, current node at (102600, 548800) at layer 1 have been moved from (101920, 540960).
[WARNING PSM-0024] Instance _05160_, current node at (108000, 580160) at layer 1 have been moved from (108640, 572320).
